HCPCS_CODE,in_hcpcs_2026,in_hedis,in_either,in_comprehensive
0214,FALSE,FALSE,FALSE,FALSE
0214U,FALSE,FALSE,FALSE,FALSE
0215U,FALSE,FALSE,FALSE,FALSE
02211,FALSE,FALSE,FALSE,FALSE
0223U,FALSE,FALSE,FALSE,FALSE
0224U,FALSE,FALSE,FALSE,FALSE
0225U,FALSE,FALSE,FALSE,FALSE
0226U,FALSE,FALSE,FALSE,FALSE
0227U,FALSE,FALSE,FALSE,FALSE
023,FALSE,FALSE,FALSE,FALSE
0232T,FALSE,FALSE,FALSE,TRUE
0239U,FALSE,FALSE,FALSE,FALSE
02404,FALSE,FALSE,FALSE,FALSE
0240U,FALSE,FALSE,FALSE,FALSE
02414,FALSE,FALSE,FALSE,FALSE
0241U,FALSE,FALSE,FALSE,FALSE
0242U,FALSE,FALSE,FALSE,FALSE
0244U,FALSE,FALSE,FALSE,FALSE
0245U,FALSE,FALSE,FALSE,FALSE
0247U,FALSE,FALSE,FALSE,FALSE
0250,FALSE,FALSE,FALSE,FALSE
0250R,FALSE,FALSE,FALSE,FALSE
0251,FALSE,FALSE,FALSE,FALSE
0252,FALSE,FALSE,FALSE,FALSE
0253,FALSE,FALSE,FALSE,FALSE
0254,FALSE,FALSE,FALSE,FALSE
0255,FALSE,FALSE,FALSE,FALSE
0257,FALSE,FALSE,FALSE,FALSE
0258,FALSE,FALSE,FALSE,FALSE
0258R,FALSE,FALSE,FALSE,FALSE
0259,FALSE,FALSE,FALSE,FALSE
0259R,FALSE,FALSE,FALSE,FALSE
0260,FALSE,FALSE,FALSE,FALSE
0261,FALSE,FALSE,FALSE,FALSE
0270,FALSE,FALSE,FALSE,FALSE
0270R,FALSE,FALSE,FALSE,FALSE
0271,FALSE,FALSE,FALSE,FALSE
0271R,FALSE,FALSE,FALSE,FALSE
0272,FALSE,FALSE,FALSE,FALSE
0272R,FALSE,FALSE,FALSE,FALSE
0273,FALSE,FALSE,FALSE,FALSE
0274,FALSE,FALSE,FALSE,FALSE
0275,FALSE,FALSE,FALSE,FALSE
0276,FALSE,FALSE,FALSE,FALSE
0278,FALSE,FALSE,FALSE,FALSE
0279,FALSE,FALSE,FALSE,FALSE
0279U,FALSE,FALSE,FALSE,FALSE
0280,FALSE,FALSE,FALSE,FALSE
0290,FALSE,FALSE,FALSE,FALSE
0294,FALSE,FALSE,FALSE,FALSE
0295T,FALSE,FALSE,FALSE,FALSE
0295U,FALSE,FALSE,FALSE,FALSE
0296T,FALSE,FALSE,FALSE,FALSE
0297T,FALSE,FALSE,FALSE,FALSE
0298T,FALSE,FALSE,FALSE,FALSE
03,FALSE,FALSE,FALSE,FALSE
0300,FALSE,FALSE,FALSE,FALSE
0301,FALSE,FALSE,FALSE,FALSE
0302,FALSE,FALSE,FALSE,FALSE
0304,FALSE,FALSE,FALSE,FALSE
0305,FALSE,FALSE,FALSE,FALSE
0306,FALSE,FALSE,FALSE,FALSE
0307,FALSE,FALSE,FALSE,FALSE
0309,FALSE,FALSE,FALSE,FALSE
0310,FALSE,FALSE,FALSE,FALSE
0311,FALSE,FALSE,FALSE,FALSE
0311U,FALSE,FALSE,FALSE,FALSE
0312,FALSE,FALSE,FALSE,FALSE
0312U,FALSE,FALSE,FALSE,FALSE
0315U,FALSE,FALSE,FALSE,FALSE
0320,FALSE,FALSE,FALSE,FALSE
0324,FALSE,FALSE,FALSE,FALSE
0326U,FALSE,FALSE,FALSE,FALSE
0327U,FALSE,FALSE,FALSE,FALSE
0330T,FALSE,FALSE,FALSE,TRUE
0331,FALSE,FALSE,FALSE,FALSE
0333,FALSE,FALSE,FALSE,FALSE
0333T,FALSE,FALSE,FALSE,TRUE
0334U,FALSE,FALSE,FALSE,FALSE
0335,FALSE,FALSE,FALSE,FALSE
0338U,FALSE,FALSE,FALSE,FALSE
0339U,FALSE,FALSE,FALSE,FALSE
0340,FALSE,FALSE,FALSE,FALSE
0340U,FALSE,FALSE,FALSE,FALSE
0341,FALSE,FALSE,FALSE,FALSE
0343,FALSE,FALSE,FALSE,FALSE
0344U,FALSE,FALSE,FALSE,FALSE
0345U,FALSE,FALSE,FALSE,FALSE
0346T,FALSE,FALSE,FALSE,FALSE
0346U,FALSE,FALSE,FALSE,FALSE
0349,FALSE,FALSE,FALSE,FALSE
0349U,FALSE,FALSE,FALSE,FALSE
0350,FALSE,FALSE,FALSE,FALSE
0350U,FALSE,FALSE,FALSE,FALSE
0351,FALSE,FALSE,FALSE,FALSE
0351U,FALSE,FALSE,FALSE,FALSE
0352,FALSE,FALSE,FALSE,FALSE
0352U,FALSE,FALSE,FALSE,FALSE
0353U,FALSE,FALSE,FALSE,FALSE
0356T,FALSE,FALSE,FALSE,FALSE
0356U,FALSE,FALSE,FALSE,FALSE
0358T,FALSE,FALSE,FALSE,TRUE
0359,FALSE,FALSE,FALSE,FALSE
0359T,FALSE,FALSE,FALSE,FALSE
0360,FALSE,FALSE,FALSE,FALSE
0360T,FALSE,FALSE,FALSE,FALSE
0360U,FALSE,FALSE,FALSE,FALSE
0361,FALSE,FALSE,FALSE,FALSE
0361T,FALSE,FALSE,FALSE,FALSE
0361U,FALSE,FALSE,FALSE,FALSE
0362T,FALSE,FALSE,FALSE,TRUE
0363T,FALSE,FALSE,FALSE,FALSE
0363U,FALSE,FALSE,FALSE,FALSE
0364T,FALSE,FALSE,FALSE,FALSE
0364U,FALSE,FALSE,FALSE,FALSE
0365T,FALSE,FALSE,FALSE,FALSE
0366T,FALSE,FALSE,FALSE,FALSE
0367T,FALSE,FALSE,FALSE,FALSE
0368T,FALSE,FALSE,FALSE,FALSE
0369,FALSE,FALSE,FALSE,FALSE
0369T,FALSE,FALSE,FALSE,FALSE
0370,FALSE,FALSE,FALSE,FALSE
0370R,FALSE,FALSE,FALSE,FALSE
0370T,FALSE,FALSE,FALSE,FALSE
0371,FALSE,FALSE,FALSE,FALSE
0371T,FALSE,FALSE,FALSE,FALSE
0372,FALSE,FALSE,FALSE,FALSE
0372T,FALSE,FALSE,FALSE,FALSE
0373T,FALSE,FALSE,FALSE,TRUE
0374T,FALSE,FALSE,FALSE,FALSE
0375U,FALSE,FALSE,FALSE,FALSE
0378T,FALSE,FALSE,FALSE,TRUE
0379,FALSE,FALSE,FALSE,FALSE
0379T,FALSE,FALSE,FALSE,TRUE
